1916 uprising in Hilla;‘Ākif Beg;Muhammad ‘Ali al-Qazwini
Battle of Lorraine;Crown Prince Rupprecht of Bavaria;Noël Édouard, vicomte de Curières de Castelnau
Battle of Lorraine;Crown Prince Rupprecht of Bavaria;Ferdinand Foch
Battle of Lorraine;Josias von Heeringen;Auguste Dubail
Battle of Lorraine;Josias von Heeringen;Noël Édouard, vicomte de Curières de Castelnau
Battle of Lorraine;Josias von Heeringen;Ferdinand Foch
Battle of Lutsk;Aleksei Kaledin;Archduke Joseph Ferdinand
Battle of Länkipohja;K. F. Wilkman;Eino Siukola
Battle of Länkipohja;K. F. Wilkman;Vihtori Hurri
Battle of Länkipohja;K. F. Wilkman;Leander Viljanen
Battle of Länkipohja;Torsten Aminoff;Eino Siukola
Battle of Länkipohja;Torsten Aminoff;Vihtori Hurri
Battle of Länkipohja;Torsten Aminoff;Leander Viljanen
Battle of Länkipohja;Oskar Wilkman;Eino Siukola
Battle of Länkipohja;Oskar Wilkman;Vihtori Hurri
Battle of Länkipohja;Oskar Wilkman;Leander Viljanen
Battle of Länkipohja;Aarne Heikinheimo;Eino Siukola
Battle of Länkipohja;Aarne Heikinheimo;Vihtori Hurri
Battle of Länkipohja;Aarne Heikinheimo;Leander Viljanen
Battle of Magdhaba;Harry Chauvel;Khadir Bey
Battle of Mahiwa;Paul von Lettow-Vorbeck;Jacob van Deventer
Battle of Mahiwa;Kurt Wahle;Jacob van Deventer
Battle of Malka Nidzhe;Victor Cordonnier;Todor Mitov
Battle of Malka Nidzhe;Victor Cordonnier;Stefan Tasev
Battle of Malka Nidzhe;Pavle Jurišić Šturm;Todor Mitov
Battle of Malka Nidzhe;Pavle Jurišić Šturm;Stefan Tasev
Battle of Manzikert (1915);Nikolai Yudenich;Abdul Kerim Pasha
Battle of Manzikert (1915);Pyotr Oganovsky;Abdul Kerim Pasha
Battle of Mastara;Drastamat Kanayan;Wehib Pasha
Battle of Mecca (1916);Hussein bin Ali;Fakhri Pasha
Battle of Mecca (1916);Emir Faisal;Fakhri Pasha
Battle of Mecca (1916);Ali of Hejaz;Fakhri Pasha
Battle of Megiddo (1918);Edmund Allenby;Liman von Sanders
Battle of Megiddo (1918);Edmund Allenby;Cevat Pasha(Eighth Army)
Battle of Megiddo (1918);Edmund Allenby;Mustafa Kemal Atatürk
Battle of Megiddo (1918);Edmund Allenby;Cemal Pasha(Fourth Army)
Battle of Megiddo (1918);Edward Bulfin;Liman von Sanders
Battle of Megiddo (1918);Edward Bulfin;Cevat Pasha(Eighth Army)
Battle of Megiddo (1918);Edward Bulfin;Mustafa Kemal Atatürk
Battle of Megiddo (1918);Edward Bulfin;Cemal Pasha(Fourth Army)
Battle of Megiddo (1918);Philip Chetwode;Liman von Sanders
Battle of Megiddo (1918);Philip Chetwode;Cevat Pasha(Eighth Army)
Battle of Megiddo (1918);Philip Chetwode;Mustafa Kemal Atatürk
Battle of Megiddo (1918);Philip Chetwode;Cemal Pasha(Fourth Army)
Battle of Megiddo (1918);Harry Chauvel;Liman von Sanders
Battle of Megiddo (1918);Harry Chauvel;Cevat Pasha(Eighth Army)
Battle of Megiddo (1918);Harry Chauvel;Mustafa Kemal Atatürk
Battle of Megiddo (1918);Harry Chauvel;Cemal Pasha(Fourth Army)
Battle of Megiddo (1918);Emir Faisal;Liman von Sanders
Battle of Megiddo (1918);Emir Faisal;Cevat Pasha(Eighth Army)
Battle of Megiddo (1918);Emir Faisal;Mustafa Kemal Atatürk
Battle of Megiddo (1918);Emir Faisal;Cemal Pasha(Fourth Army)
Battle of Messines (1914);Edmund Allenby;Crown Prince Rupprecht of Bavaria
Battle of Messines (1917);Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Messines (1917);Douglas Haig;Friedrich Sixt von Armin
Battle of Messines (1917);Herbert Plumer;Crown Prince Rupprecht of Bavaria
Battle of Messines (1917);Herbert Plumer;Friedrich Sixt von Armin
Battle of Mezőlivádia;Ioan Culcer;Hermann von Staabs
Battle of Mezőlivádia;Ioan Culcer;Edwin Sunkel
Battle of Mezőlivádia;Ioan Culcer;Ludwig Berger (colonel)
Battle of Mezőlivádia;Ioan Muică;Hermann von Staabs
Battle of Mezőlivádia;Ioan Muică;Edwin Sunkel
Battle of Mezőlivádia;Ioan Muică;Ludwig Berger (colonel)
Battle of Mlali;Paul von Lettow-Vorbeck;Jan Smuts
Battle of Mojkovac;Janko Vukotić;Hermann Kövess von Kövesshaza
Battle of Mojkovac;Janko Vukotić;Wilhelm von Reinöhl
Battle of Mojkovac;Krsto Popović;Hermann Kövess von Kövesshaza
Battle of Mojkovac;Krsto Popović;Wilhelm von Reinöhl
Battle of Monastir (1917);Otto von Below;Maurice Sarrail
Battle of Mons;John French, 1st Earl of Ypres;Alexander von Kluck
Battle of Mons;Horace Smith-Dorrien;Alexander von Kluck
Battle of Mons;Douglas Haig;Alexander von Kluck
Battle of Monte Corno;Luigi Cadorna;Bruno Franceschini
Battle of Monte Corno;Armando Diaz;Bruno Franceschini
Battle of Monte Corno;Pietro Badoglio;Bruno Franceschini
Battle of Monte Corno;Luigi Casonato;Bruno Franceschini
Battle of Monte Corno;Cesare Battisti (politician);Bruno Franceschini
Battle of Monte Corno;Fabio Filzi;Bruno Franceschini
Battle of Monte Corno;Nazario Sauro;Bruno Franceschini
Battle of Monte Grappa;Archduke Eugen of Austria;Armando Diaz
Battle of Monte Grappa;Arthur Arz von Straussenburg;Armando Diaz
Battle of Monte San Michele;Luigi Cadorna;Svetozar Boroević
Battle of Mont Saint-Quentin;John Monash;Max von Boehn
Battle of Mont Sorrel;Julian Byng;Erich von Falkenhayn
Battle of Mont Sorrel;Julian Byng;Crown Prince Rupprecht of Bavaria
Battle of Moon Sound;Ehrhard Schmidt;Mikhail Bakhirev
Battle of Moreuil Wood;J. E. B. Seely, 1st Baron Mottistone;Erich Ludendorff
Battle of Morhange;Noël Édouard, vicomte de Curières de Castelnau;Crown Prince Rupprecht of Bavaria
Battle of Morval;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Morval;Douglas Haig;Fritz von Below
Battle of Morval;Henry Rawlinson, 1st Baron Rawlinson;Crown Prince Rupprecht of Bavaria
Battle of Morval;Henry Rawlinson, 1st Baron Rawlinson;Fritz von Below
Battle of Morval;Joseph Joffre;Crown Prince Rupprecht of Bavaria
Battle of Morval;Joseph Joffre;Fritz von Below
Battle of Morval;Ferdinand Foch;Crown Prince Rupprecht of Bavaria
Battle of Morval;Ferdinand Foch;Fritz von Below
Battle of Morval;Émile Fayolle;Crown Prince Rupprecht of Bavaria
Battle of Morval;Émile Fayolle;Fritz von Below
Battle of Mount Csindrel;Ioan Culcer;Ludwig Ritter von Tutschek
Battle of Mount Hamrin;Henry D'Urban Keary;Ali İhsan Sâbis
Battle of Mount Ortigara;Luigi Cadorna;Arthur Arz von Straussenburg
Battle of Mount Ortigara;Luigi Cadorna;Viktor Graf von Scheuchenstuel
Battle of Mount Ortigara;Ettore Mambretti;Arthur Arz von Straussenburg
Battle of Mount Ortigara;Ettore Mambretti;Viktor Graf von Scheuchenstuel
Battle of Mughar Ridge;Edmund Allenby;Erich von Falkenhayn
Battle of Mughar Ridge;Edmund Allenby;Fevzi Çakmak
Battle of Mughar Ridge;Edmund Allenby;Friedrich Kress von Kressenstein
Battle of Mughar Ridge;Edmund Allenby;Cevat Çobanlı
Battle of Mughar Ridge;Edmund Allenby;Ali Fuat Cebesoy
Battle of Mughar Ridge;Harry Chauvel;Erich von Falkenhayn
Battle of Mughar Ridge;Harry Chauvel;Fevzi Çakmak
Battle of Mughar Ridge;Harry Chauvel;Friedrich Kress von Kressenstein
Battle of Mughar Ridge;Harry Chauvel;Cevat Çobanlı
Battle of Mughar Ridge;Harry Chauvel;Ali Fuat Cebesoy
Battle of Mughar Ridge;Edward Bulfin;Erich von Falkenhayn
Battle of Mughar Ridge;Edward Bulfin;Fevzi Çakmak
Battle of Mughar Ridge;Edward Bulfin;Friedrich Kress von Kressenstein
Battle of Mughar Ridge;Edward Bulfin;Cevat Çobanlı
Battle of Mughar Ridge;Edward Bulfin;Ali Fuat Cebesoy
Battle of Mughar Ridge;Philip Chetwode;Erich von Falkenhayn
Battle of Mughar Ridge;Philip Chetwode;Fevzi Çakmak
Battle of Mughar Ridge;Philip Chetwode;Friedrich Kress von Kressenstein
Battle of Mughar Ridge;Philip Chetwode;Cevat Çobanlı
Battle of Mughar Ridge;Philip Chetwode;Ali Fuat Cebesoy
Battle of Mulhouse;Auguste Dubail;Josias von Heeringen
Battle of Mulhouse;Louis Bonneau;Josias von Heeringen
Battle of Mulhouse;Paul Pau;Josias von Heeringen
Battle of Muş;Ahmed Izzet Pasha;Nikolai Istomin
Battle of Muş;Ahmed Izzet Pasha;Nikolai Yudenich
Battle of Muş;Ahmed Izzet Pasha;Tovmas Nazarbekian
Battle of Muş;Mustafa Kemal Atatürk;Nikolai Istomin
Battle of Muş;Mustafa Kemal Atatürk;Nikolai Yudenich
Battle of Muş;Mustafa Kemal Atatürk;Tovmas Nazarbekian
Battle of Muş;Faik Pasha;Nikolai Istomin
Battle of Muş;Faik Pasha;Nikolai Yudenich
Battle of Muş;Faik Pasha;Tovmas Nazarbekian
Battle of Más a Tierra;John Luce (Royal Navy officer);Fritz Lüdecke
Battle of Mărășești;Constantin Cristescu;Johannes von Eben
Battle of Mărășești;Constantin Cristescu;Karl von Wenninger
Battle of Mărășești;Eremia Grigorescu;Johannes von Eben
Battle of Mărășești;Eremia Grigorescu;Karl von Wenninger
Battle of Mărășești;Alexander Ragoza;Johannes von Eben
Battle of Mărășești;Alexander Ragoza;Karl von Wenninger
Battle of Mărăști;Alexandru Averescu;Friedrich von Gerok (officer)
Battle of Mărăști;Alexandru Averescu;Franz Rohr von Denta
Battle of Mărăști;Dmitry Shcherbachev;Friedrich von Gerok (officer)
Battle of Mărăști;Dmitry Shcherbachev;Franz Rohr von Denta
Battle of Nablus (1918);Edmund Allenby;Liman von Sanders
Battle of Nablus (1918);Edmund Allenby;Gustav von Oppen
Battle of Nablus (1918);Edmund Allenby;Mustafa Kemal Atatürk
Battle of Nablus (1918);Edmund Allenby;Cemal Mersinli
Battle of Nablus (1918);Philip Chetwode;Liman von Sanders
Battle of Nablus (1918);Philip Chetwode;Gustav von Oppen
Battle of Nablus (1918);Philip Chetwode;Mustafa Kemal Atatürk
Battle of Nablus (1918);Philip Chetwode;Cemal Mersinli
Battle of Nablus (1918);Edward Chaytor;Liman von Sanders
Battle of Nablus (1918);Edward Chaytor;Gustav von Oppen
Battle of Nablus (1918);Edward Chaytor;Mustafa Kemal Atatürk
Battle of Nablus (1918);Edward Chaytor;Cemal Mersinli
Battle of Nagybár;Ioan Culcer;Hermann von Staabs
Battle of Nagybár;Ioan Culcer;Edwin Sunkel
Battle of Nagybár;Ioan Culcer;Ludwig Berger (colonel)
Battle of Nagybár;Ioan Muică;Hermann von Staabs
Battle of Nagybár;Ioan Muică;Edwin Sunkel
Battle of Nagybár;Ioan Muică;Ludwig Berger (colonel)
Battle of Nagyszeben (1916);Ioan Culcer;Erich von Falkenhayn
Battle of Nagyszeben (1916);Ioan Culcer;Edwin Sunkel
Battle of Nagyszeben (1916);Ioan Culcer;Friedrich Freiherr von Lüttwitz
Battle of Nagyszeben (1916);Ioan Culcer;Arthur Arz von Straussenburg
Battle of Nagyszeben (1916);Ioan Culcer;Anton Goldbach von Sulittaborn
Battle of Nagyszeben (1916);Ioan Oprescu;Erich von Falkenhayn
Battle of Nagyszeben (1916);Ioan Oprescu;Edwin Sunkel
Battle of Nagyszeben (1916);Ioan Oprescu;Friedrich Freiherr von Lüttwitz
Battle of Nagyszeben (1916);Ioan Oprescu;Arthur Arz von Straussenburg
Battle of Nagyszeben (1916);Ioan Oprescu;Anton Goldbach von Sulittaborn
Battle of Nagyszeben (1916);Toma Popescu;Erich von Falkenhayn
Battle of Nagyszeben (1916);Toma Popescu;Edwin Sunkel
Battle of Nagyszeben (1916);Toma Popescu;Friedrich Freiherr von Lüttwitz
Battle of Nagyszeben (1916);Toma Popescu;Arthur Arz von Straussenburg
Battle of Nagyszeben (1916);Toma Popescu;Anton Goldbach von Sulittaborn
Battle of Nagyszeben (1916);Grigore C. Crăiniceanu;Erich von Falkenhayn
Battle of Nagyszeben (1916);Grigore C. Crăiniceanu;Edwin Sunkel
Battle of Nagyszeben (1916);Grigore C. Crăiniceanu;Friedrich Freiherr von Lüttwitz
Battle of Nagyszeben (1916);Grigore C. Crăiniceanu;Arthur Arz von Straussenburg
Battle of Nagyszeben (1916);Grigore C. Crăiniceanu;Anton Goldbach von Sulittaborn
Battle of Nagyszeben (1916);Grigore Simionescu;Erich von Falkenhayn
Battle of Nagyszeben (1916);Grigore Simionescu;Edwin Sunkel
Battle of Nagyszeben (1916);Grigore Simionescu;Friedrich Freiherr von Lüttwitz
Battle of Nagyszeben (1916);Grigore Simionescu;Arthur Arz von Straussenburg
Battle of Nagyszeben (1916);Grigore Simionescu;Anton Goldbach von Sulittaborn
Battle of Namacurra;Eric Gore-Browne;Paul von Lettow-Vorbeck
Battle of Namacurra;Eric Gore-Browne;Erich Müller
Battle of Nambanje;Paul von Lettow-Vorbeck;T.J.W. Weld
Battle of Narungombe;Captain von Lieberman;Percival Scott Beves
Battle of Naulila;Alves Roçadas;Victor Franke
Battle of Nazareth;Edmund Allenby;Fevzi Çakmak
Battle of Nazareth;Edmund Allenby;Liman von Sanders
Battle of Nazareth;Harry Chauvel;Fevzi Çakmak
Battle of Nazareth;Harry Chauvel;Liman von Sanders
Battle of Nazareth;Henry John Macandrew;Fevzi Çakmak
Battle of Nazareth;Henry John Macandrew;Liman von Sanders
Battle of Nazareth;Philip James Vandeleur Kelly;Fevzi Çakmak
Battle of Nazareth;Philip James Vandeleur Kelly;Liman von Sanders
Battle of Neuve-Chapelle;John French, 1st Earl of Ypres;Crown Prince Rupprecht of Bavaria
Battle of Neuve-Chapelle;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Ngomano;Paul von Lettow-Vorbeck;João Teixeira Pinto
Battle of Niš (1915);Kliment Boyadzhiev;Stepa Stepanović
Battle of Nsanakong;C. T. Mair;Hauptmann Rausch Emil
Battle of Nsanakong;Milne-Howe;Hauptmann Rausch Emil
Battle of Nurunyu;Henry de Courcy O'Grady;Friedrich-Wilhelm von Chappuis
Battle of Nurunyu;Henry de Courcy O'Grady;Major Rothe
Battle of Nurunyu;Colonel Taylor;Friedrich-Wilhelm von Chappuis
Battle of Nurunyu;Colonel Taylor;Major Rothe
Battle of Otavi;Maj. Hermann Ritter;Louis Botha
Battle of Oulu;Alexander Tunzelman von Adlerflug;Lennart Lindgren (Finnish Red Guard leader)
Battle of Oulu;Alexander Tunzelman von Adlerflug;Antti Laukkanen
Battle of Oulu;Alexander Tunzelman von Adlerflug;Yrjö Kallinen
Battle of Oulu;Hannes Ignatius;Lennart Lindgren (Finnish Red Guard leader)
Battle of Oulu;Hannes Ignatius;Antti Laukkanen
Battle of Oulu;Hannes Ignatius;Yrjö Kallinen
Battle of Oulu;Vilho Nenonen;Lennart Lindgren (Finnish Red Guard leader)
Battle of Oulu;Vilho Nenonen;Antti Laukkanen
Battle of Oulu;Vilho Nenonen;Yrjö Kallinen
Battle of Passchendaele;Douglas Haig;Erich Ludendorff
Battle of Passchendaele;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Passchendaele;Douglas Haig;Friedrich Sixt von Armin
Battle of Passchendaele;Hubert Gough;Erich Ludendorff
Battle of Passchendaele;Hubert Gough;Crown Prince Rupprecht of Bavaria
Battle of Passchendaele;Hubert Gough;Friedrich Sixt von Armin
Battle of Passchendaele;Herbert Plumer;Erich Ludendorff
Battle of Passchendaele;Herbert Plumer;Crown Prince Rupprecht of Bavaria
Battle of Passchendaele;Herbert Plumer;Friedrich Sixt von Armin
Battle of Passchendaele;François Anthoine;Erich Ludendorff
Battle of Passchendaele;François Anthoine;Crown Prince Rupprecht of Bavaria
Battle of Passchendaele;François Anthoine;Friedrich Sixt von Armin
Battle of Passchendaele;Louis Ruquoy;Erich Ludendorff
Battle of Passchendaele;Louis Ruquoy;Crown Prince Rupprecht of Bavaria
Battle of Passchendaele;Louis Ruquoy;Friedrich Sixt von Armin
Battle of Penang;I. A. Cherkassov;Karl von Müller
Battle of Penang;Félix Théroinne;Karl von Müller
Battle of Pilckem Ridge;Douglas Haig;Erich Ludendorff
Battle of Pilckem Ridge;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Pilckem Ridge;Douglas Haig;Friedrich Sixt von Armin
Battle of Pilckem Ridge;Hubert Gough;Erich Ludendorff
Battle of Pilckem Ridge;Hubert Gough;Crown Prince Rupprecht of Bavaria
Battle of Pilckem Ridge;Hubert Gough;Friedrich Sixt von Armin
Battle of Pilckem Ridge;Herbert Plumer;Erich Ludendorff
Battle of Pilckem Ridge;Herbert Plumer;Crown Prince Rupprecht of Bavaria
Battle of Pilckem Ridge;Herbert Plumer;Friedrich Sixt von Armin
Battle of Pilckem Ridge;François Anthoine;Erich Ludendorff
Battle of Pilckem Ridge;François Anthoine;Crown Prince Rupprecht of Bavaria
Battle of Pilckem Ridge;François Anthoine;Friedrich Sixt von Armin
Battle of Podgora;Luigi Cadorna;Conrad von Hötzendorf
Battle of Podgora;Luigi Cadorna;Svetozar Boroević
Battle of Podgora;Luigi Cadorna;Archduke Eugen of Austria
Battle of Podgora;Emanuele Filiberto, 2nd Duke of Aosta;Conrad von Hötzendorf
Battle of Podgora;Emanuele Filiberto, 2nd Duke of Aosta;Svetozar Boroević
Battle of Podgora;Emanuele Filiberto, 2nd Duke of Aosta;Archduke Eugen of Austria
Battle of Podgora;Luigi Capello;Conrad von Hötzendorf
Battle of Podgora;Luigi Capello;Svetozar Boroević
Battle of Podgora;Luigi Capello;Archduke Eugen of Austria
Battle of Poelcappelle;Herbert Plumer;Erich Ludendorff
Battle of Poelcappelle;Herbert Plumer;Crown Prince Rupprecht of Bavaria
Battle of Poelcappelle;Herbert Plumer;Friedrich Sixt von Armin
Battle of Poelcappelle;Hubert Gough;Erich Ludendorff
Battle of Poelcappelle;Hubert Gough;Crown Prince Rupprecht of Bavaria
Battle of Poelcappelle;Hubert Gough;Friedrich Sixt von Armin
Battle of Poelcappelle;François Anthoine;Erich Ludendorff
Battle of Poelcappelle;François Anthoine;Crown Prince Rupprecht of Bavaria
Battle of Poelcappelle;François Anthoine;Friedrich Sixt von Armin
Battle of Polygon Wood;Douglas Haig;Erich Ludendorff
Battle of Polygon Wood;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Polygon Wood;Douglas Haig;Friedrich Sixt von Armin
Battle of Polygon Wood;Herbert Plumer;Erich Ludendorff
Battle of Polygon Wood;Herbert Plumer;Crown Prince Rupprecht of Bavaria
Battle of Polygon Wood;Herbert Plumer;Friedrich Sixt von Armin
Battle of Polygon Wood;Hubert Gough;Erich Ludendorff
Battle of Polygon Wood;Hubert Gough;Crown Prince Rupprecht of Bavaria
Battle of Polygon Wood;Hubert Gough;Friedrich Sixt von Armin
Battle of Pozières;Douglas Haig;Fritz von Below
Battle of Pozières;Douglas Haig;Max von Boehn (general)
Battle of Pozières;Hubert Gough;Fritz von Below
Battle of Pozières;Hubert Gough;Max von Boehn (general)
Battle of Pozières;William Birdwood;Fritz von Below
Battle of Pozières;William Birdwood;Max von Boehn (general)
Battle of Pozzuolo;Giorgio Emo di Capodilista;Svetozar Boroević
Battle of Predeal Pass;Alexandru Averescu;Hermann von Staabs
Battle of Prunaru;Constantin Prezan;August von Mackensen
Battle of Qurna;Charles Irwin Fry;Mehmed Subhi Bey
Battle of Radymno;August von Mackensen;Leonid Lesh
Battle of Rafajlowa;Henryk Minkiewicz;Zolotin
Battle of Rautu;Aarne Sihvo;M. V. Prigorovski
Battle of Rautu;Aarne Sihvo;Oskar Rantala
Battle of Rautu;Aarne Sihvo;Arvid Leinonen
Battle of Rautu;Aarne Sihvo;Heikki Kaljunen
Battle of Rautu;Ernst Löfström;M. V. Prigorovski
Battle of Rautu;Ernst Löfström;Oskar Rantala
Battle of Rautu;Ernst Löfström;Arvid Leinonen
Battle of Rautu;Ernst Löfström;Heikki Kaljunen
Battle of Rautu;Lennart Oesch;M. V. Prigorovski
Battle of Rautu;Lennart Oesch;Oskar Rantala
Battle of Rautu;Lennart Oesch;Arvid Leinonen
Battle of Rautu;Lennart Oesch;Heikki Kaljunen
Battle of Rawa;Pavel Plehve;Rudolf von Brudermann
Battle of Rawa;Pavel Plehve;Moritz von Auffenberg
Battle of Rawa;Nikolai Ruzsky;Rudolf von Brudermann
Battle of Rawa;Nikolai Ruzsky;Moritz von Auffenberg
Battle of Robat Karim;Nikolai Baratov;Ahmad Shah Qajar
Battle of Robat Karim;Nikolai Baratov;Heydar Latifiyan
Battle of Robănești;Alexandru Cӑlinescu;Paul von Kneussl
Battle of Romani;Archibald Murray;Friedrich Kress von Kressenstein
Battle of Romani;Herbert Lawrence;Friedrich Kress von Kressenstein
Battle of Romani;Harry Chauvel;Friedrich Kress von Kressenstein
Battle of Rossignol;Jules Lefèvre;Kurt von Pritzelwitz
Battle of Rumbo;Captain von Liebermann;Major William Thornton Gregg
Battle of Ruovesi;Martin Wetzer;Emil Koski
Battle of Ruovesi;Martin Wetzer;Herman Järvinen
Battle of Ruovesi;Martin Wetzer;Oskar Johansson
Battle of Ruovesi;Paul Wallenius;Emil Koski
Battle of Ruovesi;Paul Wallenius;Herman Järvinen
Battle of Ruovesi;Paul Wallenius;Oskar Johansson
Battle of Saint-Mihiel;John J. Pershing;Max von Gallwitz
Battle of Saint-Mihiel;John J. Pershing;Georg Fuchs (General)
Battle of Saint-Mihiel;John J. Pershing;Eduard von Below
Battle of Saint-Mihiel;John J. Pershing;Ludwig Goiginger
Battle of Saint-Mihiel;Hunter Liggett;Max von Gallwitz
Battle of Saint-Mihiel;Hunter Liggett;Georg Fuchs (General)
Battle of Saint-Mihiel;Hunter Liggett;Eduard von Below
Battle of Saint-Mihiel;Hunter Liggett;Ludwig Goiginger
Battle of Saint-Mihiel;Joseph T. Dickman;Max von Gallwitz
Battle of Saint-Mihiel;Joseph T. Dickman;Georg Fuchs (General)
Battle of Saint-Mihiel;Joseph T. Dickman;Eduard von Below
Battle of Saint-Mihiel;Joseph T. Dickman;Ludwig Goiginger
Battle of Saint-Mihiel;George H. Cameron;Max von Gallwitz
Battle of Saint-Mihiel;George H. Cameron;Georg Fuchs (General)
Battle of Saint-Mihiel;George H. Cameron;Eduard von Below
Battle of Saint-Mihiel;George H. Cameron;Ludwig Goiginger
Battle of Saint-Mihiel;Ernest Joseph Blondlat;Max von Gallwitz
Battle of Saint-Mihiel;Ernest Joseph Blondlat;Georg Fuchs (General)
Battle of Saint-Mihiel;Ernest Joseph Blondlat;Eduard von Below
Battle of Saint-Mihiel;Ernest Joseph Blondlat;Ludwig Goiginger
Battle of Salaita Hill;Georg Kraut;Wilfrid Malleson
Battle of Samakh;Edmund Allenby;Cevat Çobanlı
Battle of Samakh;Edmund Allenby;Liman von Sanders
Battle of Samakh;Harry Chauvel;Cevat Çobanlı
Battle of Samakh;Harry Chauvel;Liman von Sanders
Battle of Samakh;Henry Hodgson;Cevat Çobanlı
Battle of Samakh;Henry Hodgson;Liman von Sanders
Battle of Samakh;William Grant;Cevat Çobanlı
Battle of Samakh;William Grant;Liman von Sanders
Battle of Sandfontein;Joachim von Heydebreck;R.C. Grant
Battle of Sandfontein;Joachim von Heydebreck;E.J. Welby
Battle of San Matteo;Arnaldo Berni;Hans Tabarelli de Fatis
Battle of Sardarabad;Tovmas Nazarbekian;Wehib Pasha
Battle of Sardarabad;Tovmas Nazarbekian;Kâzım Karabekir
Battle of Sardarabad;Tovmas Nazarbekian;Rüştü Pasha
Battle of Sardarabad;Tovmas Nazarbekian;Zekeriya Zihni Bey
Battle of Sardarabad;Movses Silikyan;Wehib Pasha
Battle of Sardarabad;Movses Silikyan;Kâzım Karabekir
Battle of Sardarabad;Movses Silikyan;Rüştü Pasha
Battle of Sardarabad;Movses Silikyan;Zekeriya Zihni Bey
Battle of Sardarabad;Daniel Bek-Pirumyan;Wehib Pasha
Battle of Sardarabad;Daniel Bek-Pirumyan;Kâzım Karabekir
Battle of Sardarabad;Daniel Bek-Pirumyan;Rüştü Pasha
Battle of Sardarabad;Daniel Bek-Pirumyan;Zekeriya Zihni Bey
Battle of Sardarabad;Poghos Bek-Pirumyan;Wehib Pasha
Battle of Sardarabad;Poghos Bek-Pirumyan;Kâzım Karabekir
Battle of Sardarabad;Poghos Bek-Pirumyan;Rüştü Pasha
Battle of Sardarabad;Poghos Bek-Pirumyan;Zekeriya Zihni Bey
Battle of Sardarabad;Christophor Araratov;Wehib Pasha
Battle of Sardarabad;Christophor Araratov;Kâzım Karabekir
Battle of Sardarabad;Christophor Araratov;Rüştü Pasha
Battle of Sardarabad;Christophor Araratov;Zekeriya Zihni Bey
Battle of Sardarabad;Aram Manukian;Wehib Pasha
Battle of Sardarabad;Aram Manukian;Kâzım Karabekir
Battle of Sardarabad;Aram Manukian;Rüştü Pasha
Battle of Sardarabad;Aram Manukian;Zekeriya Zihni Bey
Battle of Sarikamish;Illarion Ivanovich Vorontsov-Dashkov;İsmail Enver Pasha
Battle of Sarikamish;Illarion Ivanovich Vorontsov-Dashkov;Hafiz Hakki Pasha
Battle of Sarikamish;Illarion Ivanovich Vorontsov-Dashkov;Fritz Bronsart von Schellendorf
Battle of Sarikamish;Illarion Ivanovich Vorontsov-Dashkov;Otto von Feldmann
Battle of Sarikamish;Illarion Ivanovich Vorontsov-Dashkov;Yusuf Izzet Pasha
Battle of Sarikamish;Illarion Ivanovich Vorontsov-Dashkov;Galip Pasha
Battle of Sarikamish;Illarion Ivanovich Vorontsov-Dashkov;İhsan Sökmen
Battle of Sarikamish;Illarion Ivanovich Vorontsov-Dashkov;Şerif İlden
Battle of Sarikamish;Illarion Ivanovich Vorontsov-Dashkov;Ziya Yergök
Battle of Sarikamish;Illarion Ivanovich Vorontsov-Dashkov;Arif Baytın
Battle of Sarikamish;Nikolai Nikolaevich Yudenich;İsmail Enver Pasha
Battle of Sarikamish;Nikolai Nikolaevich Yudenich;Hafiz Hakki Pasha
Battle of Sarikamish;Nikolai Nikolaevich Yudenich;Fritz Bronsart von Schellendorf
Battle of Sarikamish;Nikolai Nikolaevich Yudenich;Otto von Feldmann
Battle of Sarikamish;Nikolai Nikolaevich Yudenich;Yusuf Izzet Pasha
Battle of Sarikamish;Nikolai Nikolaevich Yudenich;Galip Pasha
Battle of Sarikamish;Nikolai Nikolaevich Yudenich;İhsan Sökmen
Battle of Sarikamish;Nikolai Nikolaevich Yudenich;Şerif İlden
Battle of Sarikamish;Nikolai Nikolaevich Yudenich;Ziya Yergök
Battle of Sarikamish;Nikolai Nikolaevich Yudenich;Arif Baytın
Battle of Sarikamish;Georgy Bergmann;İsmail Enver Pasha
Battle of Sarikamish;Georgy Bergmann;Hafiz Hakki Pasha
Battle of Sarikamish;Georgy Bergmann;Fritz Bronsart von Schellendorf
Battle of Sarikamish;Georgy Bergmann;Otto von Feldmann
Battle of Sarikamish;Georgy Bergmann;Yusuf Izzet Pasha
Battle of Sarikamish;Georgy Bergmann;Galip Pasha
Battle of Sarikamish;Georgy Bergmann;İhsan Sökmen
Battle of Sarikamish;Georgy Bergmann;Şerif İlden
Battle of Sarikamish;Georgy Bergmann;Ziya Yergök
Battle of Sarikamish;Georgy Bergmann;Arif Baytın
Battle of Sarikamish;Alexander Myshlayevsky;İsmail Enver Pasha
Battle of Sarikamish;Alexander Myshlayevsky;Hafiz Hakki Pasha
Battle of Sarikamish;Alexander Myshlayevsky;Fritz Bronsart von Schellendorf
